Transaction ID,Payer Name,Entity Type (Payer),Receiver Name,Entity Type (Receiver),Transaction Details,Transaction Amount Threshold,Transaction Frequency,Jurisdiction Risk,Shell Company Detection,Beneficial Ownership Transparency,Sanctions & Watchlist Screening,Round-Number Transactions,Politically Exposed Persons (PEP) Involvement,Unusual Transaction Timing,Industry-Specific Risk Factors,Risk Score
TXN3001,James Hardie Industries,Corporation,Azek Company,Corporation,Acquisition of Azek,5,4,3,6,3,4,8,2,4,8,17
TXN3002,Google (Alphabet Inc.),Corporation,Wiz,Private Company,Acquisition of cloud security startup,3,8,5,6,2,6,8,3,8,4,21
TXN3003,Ecovyst,Corporation,Cornerstone Chemical Co.,Corporation,Acquisition of sulfuric acid production assets,1,8,3,9,3,2,2,5,3,6,15
TXN3004,Synopsys,Corporation,Ansys,Corporation,Acquisition to enhance engineering simulation tools,7,5,2,4,6,1,9,1,9,8,22
TXN3005,HPE,Corporation,Juniper Networks,Corporation,Acquisition to bolster networking capabilities,7,2,5,7,9,4,2,4,7,7,18
TXN4001,Travis Scott,Celebrity,McDonald's,Corporation,"Collaboration on ""Travis Scott Meal"" promotion",7,8,4,8,5,2,3,2,6,7,18
TXN4002,Zendaya,Celebrity,Lancôme,Corporation,Endorsement as global ambassador,1,8,9,7,3,1,9,7,3,7,21
TXN4003,Taylor Swift,Celebrity,Diet Coke,Corporation,Long-term endorsement deal,4,8,1,2,8,1,7,6,1,2,15
TXN4004,George Clooney,Celebrity,Nespresso,Corporation,Endorsement and stake in coffee brand,1,8,8,4,1,3,5,4,5,7,17
TXN4005,Charlize Theron,Celebrity,Dior,Corporation,Endorsement deal for J'adore fragrance,9,2,1,5,3,5,2,9,7,6,17
TXN5001,NCAA,Sports Association,Student-Athletes,Individuals,Lifting of NIL recruitment ban,5,1,9,5,8,8,7,2,6,5,22
TXN5002,Cedar Fair,Corporation,Six Flags Entertainment,Corporation,Merger to form largest amusement park company,1,2,9,7,5,1,8,4,9,5,21
TXN5003,Allianz,Corporation,Indian Joint Ventures,Multiple Companies,Sale of 26% stakes in Indian ventures,3,2,4,4,9,4,9,9,5,9,24
TXN5004,Blackstone Group,Private Equity Firm,Civica,Corporation,Acquisition of UK-based software company,1,8,9,2,6,6,9,4,2,6,21
TXN5005,Paramount Global,Corporation,Skydance Media,Corporation,Proposed merger under regulatory review,8,7,8,6,2,6,6,9,8,6,28
TXN6001,Microsoft,Corporation,GitHub,Private Company,Acquisition of code repository platform,6,7,4,3,2,5,7,3,4,5,14
TXN6002,Nike,Corporation,Michael Jordan,Celebrity,Endorsement deal for Air Jordan line,2,9,2,8,6,3,4,5,2,4,16
TXN6003,Amazon,Corporation,Whole Foods,Corporation,Acquisition of grocery chain,7,3,5,5,7,2,8,2,5,3,15
TXN6004,Elon Musk,Individual,Twitter,Corporation,Acquisition of social media platform,9,10,7,8,4,8,9,8,10,9,40
TXN6005,Adidas,Corporation,Beyoncé,Celebrity,Partnership for Ivy Park clothing line,3,6,4,7,5,4,5,4,3,6,14
TXN6006,Tesla,Corporation,SolarCity,Corporation,Merger for renewable energy expansion,8,5,6,9,3,7,8,5,7,8,27
TXN6007,Apple,Corporation,Beats by Dre,Private Company,Acquisition of audio products company,4,5,3,4,8,2,6,3,4,5,15
TXN6008,LeBron James,Celebrity,Blaze Pizza,Corporation,Investment in pizza chain franchise,5,8,2,6,7,3,7,2,8,4,19
TXN6009,Walmart,Corporation,Flipkart,Corporation,Acquisition of e-commerce platform,2,7,6,5,9,5,3,6,5,7,19
TXN6010,Coca-Cola,Corporation,Monster Beverage,Corporation,Stake acquisition in energy drink company,6,4,3,3,2,4,5,3,6,5,12
TXN6011,Disney,Corporation,21st Century Fox,Corporation,Entertainment assets acquisition,10,9,8,7,6,9,10,7,9,8,39
TXN6012,Rihanna,Celebrity,Savage X Fenty,Private Company,Investment in lingerie brand,4,7,5,4,6,2,8,3,7,6,18
TXN6013,Pfizer,Corporation,BioNTech,Corporation,COVID-19 vaccine partnership,7,6,4,5,8,3,9,4,5,6,21
TXN6014,Netflix,Corporation,Stranger Things Creators,Multiple Companies,Content production deal,3,8,2,2,7,1,4,2,3,4,11
TXN6015,Sony,Corporation,Crunchyroll,Corporation,Acquisition of anime streaming service,5,5,3,6,4,5,7,3,4,5,14
TXN6016,Dwayne Johnson,Celebrity,Under Armour,Corporation,Endorsement for athletic wear line,2,9,1,7,5,4,6,2,8,3,18
TXN6017,Verizon,Corporation,Yahoo,Corporation,Acquisition of web services,4,6,5,8,3,6,5,5,6,7,19
TXN6018,SpaceX,Private Company,NASA,Government,Space exploration contracts,8,7,9,10,7,8,9,9,10,10,42
TXN6019,LVMH,Corporation,Tiffany & Co.,Corporation,Luxury goods acquisition,9,8,7,6,5,7,8,6,7,9,29
TXN6020,Kim Kardashian,Celebrity,SKIMS,Private Company,Shapewear brand launch,5,7,3,5,4,2,7,3,5,6,14
TXN6021,Intel,Corporation,Altera,Corporation,Acquisition of semiconductor firm,6,4,5,4,6,5,6,4,5,5,15
TXN6022,Red Bull,Corporation,F1 Racing Team,Sports Association,Sponsorship and ownership stake,7,8,6,5,3,4,8,5,7,8,23
TXN6023,Goldman Sachs,Corporation,Apple Card,Corporation,Credit card partnership,3,5,4,3,9,2,5,4,3,4,13
TXN6024,Oprah Winfrey,Celebrity,WeightWatchers,Corporation,Endorsement and equity stake,8,6,2,4,7,3,6,2,4,5,16
TXN6025,Starbucks,Corporation,PepsiCo,Corporation,Bottled beverages distribution deal,2,5,3,2,8,4,3,3,2,3,11
TXN6026,BMW,Corporation,BMW i Ventures,Private Company,Investment in electric vehicles,4,6,5,7,5,6,7,5,6,7,19
TXN6027,Bill Gates,Individual,TerraPower,Private Company,Nuclear energy startup funding,9,4,8,9,6,7,10,8,9,10,40
TXN6028,Spotify,Corporation,Joe Rogan Experience,Private Company,Exclusive podcast deal,5,9,3,8,2,5,9,3,7,6,21
TXN6029,Warner Bros,Corporation,DC Comics,Corporation,Media rights acquisition,7,6,4,5,3,4,6,4,5,6,15
TXN6030,Rolex,Corporation,Formula 1,Sports Association,Sponsorship deal,6,8,7,6,4,5,8,6,7,8,24
TXN6031,Adobe,Corporation,Figma,Private Company,Design software acquisition,10,9,8,7,5,9,10,7,8,9,38
TXN6032,Lionel Messi,Celebrity,PSG,Sports Association,Football club endorsement,8,7,5,9,3,6,7,5,8,7,25
TXN6033,Samsung,Corporation,Harman,Corporation,Acquisition of audio technology,5,5,4,3,7,4,5,4,5,6,15
TXN6034,LinkedIn,Corporation,Microsoft,Corporation,Professional network acquisition,6,5,3,4,8,3,6,3,4,5,15
TXN6035,Dell,Corporation,EMC,Corporation,Data storage merger,7,6,5,8,4,7,8,5,6,7,23
TXN6036,Siemens,Corporation,AVEVA,Corporation,Industrial software acquisition,6,5,4,5,7,3,7,2,5,6,15
